id	slope	elevation	tpi	twi	coarse	stream
211	3.90931	492.6178	26.66169	1.065881	12.37778	78.0836
212	3.879277	551.001	25.34603	0.237846	13.31488	71.8112
213	3.042784	320.2669	24.61354	0.748695	9.77707	75.5474
214	3.167464	242.728	24.00349	1.383385	7.24812	66.6667
215	1.791598	237.7516	30.96289	0.803756	6.425197	20.6658
216	6.553756	545.7898	20.42659	0.14645	14.06271	61.9851
217	6.635399	461.3084	8.923001	-0.24584	13.76667	47.6626
218	4.797151	561.4776	22.06467	0.442923	14.02655	65.7677
219	2.989664	324.4598	28.68151	0.749746	9.212121	68.0501
220	5.195342	473.4562	22.28936	0.359271	12.571	47.4109
221	6.52511	428.5709	18.21782	1.094155	11.55844	97.7487
222	4.374245	514.9106	19.99165	0.14843	14.55	56.0715
223	4.398734	497.9854	20.58774	0.577618	13.0852	56.8585
224	3.970437	513.8852	23.21958	0.10859	12.79605	25.9153
225	3.86606	487.2362	21.78449	0.321095	11.66929	56.1126
226	4.022413	528.6047	21.98628	0.135375	12.30435	75.7843
227	4.129848	505.4513	26.64201	0.975039	11.925	66.0006
228	4.115855	464.8264	22.2706	0.706357	12.22083	79.9855
229	7.293879	515.9874	8.312128	-0.4919	15.84821	56.9768
230	3.407733	515.9802	22.61236	0.794868	11	72.4618
231	3.462432	528.1317	24.1064	-0.42877	12.94444	25.7173
232	5.078234	527.1815	19.69852	0.094332	13.04396	67.9238
233	7.918324	483.7627	14.5192	0.021853	13.1125	81.3515
234	3.175377	487.7517	22.64718	0.63972	11.01404	51.464
235	3.777019	553.0342	22.59491	0.129639	12.92903	51.8195
236	4.295533	528.7296	23.28297	0.328096	12.98089	64.8235
237	4.823566	588.7808	19.42823	0.421048	14.91597	68.6268
238	5.06268	629.8011	23.86856	0.312992	15.35211	58.9788
239	6.090209	483.7309	17.10156	-0.40434	13.49123	56.0858
240	5.324382	559.4581	21.2299	0.709568	13.69412	52.7499
241	4.866743	622.1016	21.34206	0.069517	13.29583	57.5485
242	5.11104	360.4595	23.49184	0.266629	12.21667	55.9963
243	4.162803	629.3717	25.76219	0.533649	14.41481	84.1327
244	0.950686	185.6732	37.56424	2.534649	3.990775	63.2879
245	0.947161	198.5747	38.73848	2.306207	4.698163	60.5082
246	2.725396	234.7861	23.81437	1.248365	8.371274	61.9691
247	3.7012	235.1624	33.20612	1.997993	7.645669	93.2375
248	2.964886	525.7833	27.11651	2.306569	11.26667	86.0601
249	6.179337	541.1684	14.99914	0.936324	12.41026	89.6416
250	4.254022	610.419	24.75928	0.074829	13.61265	52.9839
251	7.713769	586.9254	13.49187	-0.68304	12.97674	56.8376
252	7.544834	556.7677	12.84129	0.797242	13.77778	99.0361
253	4.386148	324.8786	16.78776	0.026039	10.46497	38.9736
254	5.37235	563.7312	22.84709	0.229797	13.08772	75.752
255	2.824194	469.2313	25.52411	0.410311	13.03727	50.0629
